iter	Passed	Remaining
0	157	157699
1	160	80304
2	162	54148
3	165	41313
4	168	33556
5	171	28480
6	174	24754
7	176	21874
8	178	19640
9	180	17870
10	182	16407
11	184	15158
12	186	14135
13	188	13287
14	190	12498
15	192	11827
16	193	11217
17	195	10656
18	196	10165
19	198	9724
20	200	9331
21	201	8978
22	203	8649
23	204	8329
24	206	8040
25	207	7770
26	209	7555
27	211	7326
28	212	7105
29	213	6901
30	215	6733
31	216	6554
32	217	6386
33	239	6809
34	245	6766
35	247	6619
36	249	6488
37	252	6390
38	256	6323
39	259	6230
40	262	6138
41	264	6038
42	267	5955
43	269	5853
44	272	5788
45	274	5687
46	275	5589
47	278	5517
48	279	5427
49	281	5344
50	285	5320
51	288	5259
52	291	5209
53	293	5142
54	296	5088
55	297	5018
56	299	4963
57	301	4904
58	304	4858
59	307	4816
60	308	4754
61	310	4704
62	313	4664
63	315	4613
64	316	4559
65	319	4526
66	321	4477
67	325	4458
68	326	4411
69	328	4366
70	330	4328
71	333	4293
72	335	4265
73	337	4227
74	339	4185
75	340	4142
76	342	4101
77	343	4065
78	345	4026
79	346	3987
80	348	3948
81	349	3917
82	350	3874
83	352	3840
84	353	3806
85	355	3777
86	356	3746
87	358	3715
88	359	3682
89	361	3656
90	363	3626
91	365	3605
92	367	3582
93	368	3556
94	370	3532
95	372	3508
96	374	3486
97	376	3465
98	377	3439
99	379	3418
100	381	3393
101	382	3368
102	383	3344
103	386	3326
104	387	3303
105	388	3280
106	390	3258
107	392	3238
108	393	3216
109	394	3195
110	396	3174
111	398	3158
112	400	3140
113	401	3122
114	404	3111
115	406	3094
116	408	3079
117	410	3068
118	412	3051
119	413	3031
120	415	3018
121	417	3001
122	418	2986
123	420	2969
124	422	2958
125	424	2942
126	425	2924
127	426	2908
128	429	2898
129	430	2884
130	432	2867
131	434	2857
132	436	2844
133	438	2832
134	440	2824
135	442	2810
136	443	2795
137	446	2786
138	448	2775
139	449	2762
140	451	2752
141	453	2739
142	455	2731
143	459	2728
144	460	2716
145	462	2704
146	464	2694
147	465	2681
148	467	2668
149	468	2656
150	470	2647
151	472	2637
152	474	2625
153	476	2615
154	477	2604
155	479	2596
156	482	2593
157	484	2582
158	487	2576
159	489	2568
160	490	2554
161	491	2543
162	493	2531
163	496	2530
164	498	2521
165	499	2509
166	501	2499
167	502	2489
168	505	2485
169	508	2480
170	510	2474
171	513	2471
172	514	2460
173	516	2449
174	517	2440
175	519	2431
176	521	2423
177	522	2413
178	525	2408
179	528	2406
180	533	2413
181	535	2406
182	539	2406
183	541	2399
184	542	2391
185	544	2381
186	545	2371
187	547	2362
188	548	2355
189	550	2347
190	552	2339
191	553	2330
192	556	2326
193	559	2322
194	560	2313
195	562	2307
196	565	2304
197	567	2297
198	569	2291
199	571	2287
200	574	2283
201	576	2275
202	577	2268
203	579	2260
204	581	2253
205	583	2247
206	584	2239
207	586	2233
208	588	2227
209	590	2220
210	592	2214
211	594	2208
212	596	2204
213	599	2201
214	601	2196
215	603	2189
216	606	2187
217	607	2180
218	609	2173
219	610	2165
220	612	2158
221	613	2151
222	616	2147
223	618	2141
224	619	2134
225	621	2127
226	623	2122
227	625	2116
228	626	2109
229	629	2109
230	631	2102
231	633	2098
232	636	2095
233	637	2088
234	640	2084
235	641	2077
236	643	2070
237	644	2063
238	646	2058
239	648	2052
240	649	2044
241	650	2038
242	652	2032
243	654	2027
244	655	2020
245	657	2014
246	658	2007
247	659	2001
248	661	1994
249	662	1988
250	664	1983
251	666	1977
252	667	1971
253	668	1964
254	670	1959
255	672	1953
256	674	1949
257	677	1948
258	678	1942
259	680	1936
260	681	1930
261	683	1925
262	685	1919
263	686	1914
264	689	1912
265	691	1907
266	692	1901
267	694	1896
268	695	1891
269	697	1886
270	699	1880
271	701	1877
272	703	1872
273	705	1868
274	707	1865
275	709	1860
276	710	1854
277	711	1848
278	713	1845
279	715	1840
280	717	1835
281	719	1830
282	720	1825
283	722	1820
284	723	1815
285	725	1811
286	727	1806
287	728	1801
288	730	1797
289	732	1793
290	733	1788
291	735	1783
292	737	1778
293	738	1774
294	740	1769
295	741	1764
296	743	1760
297	745	1755
298	746	1751
299	766	1788
300	770	1789
301	773	1786
302	774	1781
303	776	1777
304	778	1773
305	779	1767
306	781	1764
307	784	1762
308	785	1757
309	791	1761
310	793	1756
311	795	1754
312	797	1750
313	799	1745
314	801	1743
315	803	1739
316	806	1736
317	807	1732
318	809	1728
319	812	1726
320	814	1722
321	816	1718
322	821	1721
323	823	1719
324	827	1719
325	831	1719
326	834	1718
327	837	1715
328	839	1712
329	841	1708
330	843	1705
331	845	1700
332	846	1695
333	847	1690
334	850	1687
335	851	1683
336	853	1678
337	855	1675
338	856	1670
339	858	1666
340	859	1661
341	861	1658
342	863	1653
343	864	1649
344	869	1651
345	872	1649
346	875	1647
347	877	1643
348	880	1642
349	882	1638
350	883	1633
351	885	1631
352	887	1627
353	889	1622
354	891	1620
355	893	1616
356	897	1616
357	899	1612
358	900	1607
359	902	1603
360	904	1600
361	905	1595
362	907	1592
363	911	1593
364	913	1588
365	916	1586
366	917	1582
367	919	1578
368	921	1576
369	923	1572
370	925	1569
371	928	1567
372	930	1563
373	933	1561
374	935	1558
375	936	1554
376	937	1549
377	940	1547
378	941	1543
379	942	1538
380	944	1533
381	946	1531
382	948	1527
383	949	1523
384	952	1521
385	953	1517
386	955	1513
387	957	1510
388	959	1506
389	960	1502
390	961	1498
391	965	1497
392	967	1494
393	970	1492
394	972	1488
395	973	1485
396	976	1482
397	977	1478
398	978	1474
399	979	1469
400	982	1467
401	983	1463
402	985	1459
403	987	1457
404	989	1453
405	990	1449
406	991	1445
407	993	1441
408	995	1438
409	997	1436
410	1000	1433
411	1001	1429
412	1002	1424
413	1006	1424
414	1007	1420
415	1009	1416
416	1010	1412
417	1012	1409
418	1013	1405
419	1015	1401
420	1016	1398
421	1018	1394
422	1019	1391
423	1022	1388
424	1024	1385
425	1025	1382
426	1027	1378
427	1028	1374
428	1031	1372
429	1032	1369
430	1034	1365
431	1036	1363
432	1038	1359
433	1039	1356
434	1042	1353
435	1043	1350
436	1045	1347
437	1047	1344
438	1049	1340
439	1050	1336
440	1051	1333
441	1054	1330
442	1055	1327
443	1057	1323
444	1058	1320
445	1060	1317
446	1061	1313
447	1063	1310
448	1065	1307
449	1066	1304
450	1069	1301
451	1070	1298
452	1072	1295
453	1075	1293
454	1077	1290
455	1079	1287
456	1080	1284
457	1082	1280
458	1084	1278
459	1086	1275
460	1087	1271
461	1088	1268
462	1090	1265
463	1092	1261
464	1093	1258
465	1094	1254
466	1096	1251
467	1098	1248
468	1099	1244
469	1100	1240
470	1101	1237
471	1103	1234
472	1104	1230
473	1106	1227
474	1107	1223
475	1108	1220
476	1110	1217
477	1111	1213
478	1112	1210
479	1113	1206
480	1115	1203
481	1116	1200
482	1118	1196
483	1119	1193
484	1121	1190
485	1122	1187
486	1125	1185
487	1126	1182
488	1128	1179
489	1130	1176
490	1131	1172
491	1132	1169
492	1134	1166
493	1135	1162
494	1136	1159
495	1138	1156
496	1140	1154
497	1142	1151
498	1143	1148
499	1145	1145
500	1146	1142
501	1148	1139
502	1149	1135
503	1151	1133
504	1152	1130
505	1154	1126
506	1155	1123
507	1157	1121
508	1159	1118
509	1161	1115
510	1162	1112
511	1165	1110
512	1166	1107
513	1168	1104
514	1169	1101
515	1171	1098
516	1172	1095
517	1173	1092
518	1175	1089
519	1177	1087
520	1179	1084
521	1180	1080
522	1182	1078
523	1183	1075
524	1184	1071
525	1186	1068
526	1187	1066
527	1190	1063
528	1191	1060
529	1192	1057
530	1195	1055
531	1196	1052
532	1198	1049
533	1200	1047
534	1201	1044
535	1203	1041
536	1204	1038
537	1206	1035
538	1208	1033
539	1210	1030
540	1211	1027
541	1213	1025
542	1214	1022
543	1215	1019
544	1216	1015
545	1218	1013
546	1220	1010
547	1221	1007
548	1223	1005
549	1225	1002
550	1226	999
551	1228	996
552	1230	994
553	1232	991
554	1233	989
555	1235	986
556	1237	984
557	1238	981
558	1240	978
559	1241	975
560	1243	973
561	1245	970
562	1246	967
563	1248	964
564	1249	962
565	1251	959
566	1252	956
567	1254	953
568	1255	951
569	1256	948
570	1257	945
571	1259	942
572	1262	941
573	1264	938
574	1265	935
575	1267	933
576	1269	930
577	1270	927
578	1272	925
